16:03:42 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
16:03:42 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
16:03:42 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 4 - Creator UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
16:03:42 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 13 - Creator UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
16:03:42 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 12 - Creator UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
16:03:42 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 11 - Creator UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
16:03:42 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 41 - Creator UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
16:04:56 [Expansion Quests] - CancelQuestServer - Player with UID u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= has cancelled quest 4
16:05:06 [Expansion Quests] - CancelQuestServer - Player with UID u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= has cancelled quest 12
16:05:10 [Expansion Quests] - CancelQuestServer - Player with UID u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= has cancelled quest 13
16:05:15 [Expansion Quests] - CancelQuestServer - Player with UID u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= has cancelled quest 11
16:05:19 [Expansion Quests] - CancelQuestServer - Player with UID u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= has cancelled quest 41
16:08:44 [MissionAirdrop] An airdrop is heading towards "Osternach" (pos=<3924.000000, 0.000000, 2662.000000> type=Random_Osternach) with a ExpansionAirdropContainer
16:50:04 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has sold twp_jasonmachete x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 500.
16:50:09 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell twp_hk33 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:50:09 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has sold twp_hk33 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1200.
16:50:12 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell ak74 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:50:13 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has sold ak74 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 740.
16:50:13 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell ak74 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:50:13 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has sold ak74 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 828.
16:50:14 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell akm x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:50:14 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has sold akm x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1350.
16:50:15 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell expansion_m16 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
